match,win0,confidence0,PSW,date
1761,1,0.8048138737678527,1.8,2021-08-12
1811,1,0.8003426855802537,1.79,2021-08-19
1796,1,0.8003426855802537,1.79,2021-08-18
1810,0,0.7852761268615722,2.18,2021-08-19
1820,0,0.6930478751659392,2.17,2021-08-20
1745,1,0.6850382924079895,1.54,2021-08-11
1827,0,,,2021-08-22
1828,0,,,2021-08-22
1829,0,,,2021-08-22
1830,0,,,2021-08-22
1831,0,,,2021-08-22
1832,0,,,2021-08-22
1834,0,,,2021-08-22
1835,0,,,2021-08-22
1836,0,,,2021-08-23
1837,0,,,2021-08-23
1838,0,,,2021-08-23
1839,0,,,2021-08-23
1840,0,,,2021-08-23
1841,0,,,2021-08-23
1843,0,,,2021-08-23
1844,0,,,2021-08-23
1845,0,,,2021-08-23
1846,0,,,2021-08-23
1847,0,,,2021-08-23
1850,0,,,2021-08-23
1851,0,,,2021-08-23
1852,0,,,2021-08-23
1853,0,,,2021-08-23
1854,0,,,2021-08-23
1855,0,,,2021-08-23
1856,0,,,2021-08-23
1857,0,,,2021-08-23
1859,0,,,2021-08-24
1864,0,,,2021-08-24
